stimulus,orientation,x,xdop,xhdr,hdr,intensity,edge intensity (L/R),signal rank,calibration_date,
p0.0 u1.0,LR,4.948260000000000000e+05,5.500000000000000028e-02,1.709260000000000000e+05,1.735640995416301569e-02,3,2,,20240926,
p0.0 u1.0,TB,4.698140000000000000e+05,6.500000000000000222e-02,1.676400000000000000e+05,1.735640995416301569e-02,3,2,,20240926,IF u=1.0 WE CAN STAY AT INTENSITY 3 UNTIL p=4.5 ISH
p0.5 u1.0,LR,4.961440000000000000e+05,5.500000000000000028e-02,1.715760000000000000e+05,1.735640995416301569e-02,3,2,,20240926,
p0.5 u1.0,TB,4.733750000000000000e+05,6.500000000000000222e-02,1.698650000000000000e+05,1.735640995416301569e-02,3,2,,20240926,
p0.7 u1.0,LR,4.952870000000000000e+05,5.500000000000000028e-02,1.721390000000000000e+05,1.735640995416301569e-02,3,2,,20240926,
p0.7 u1.0,TB,4.724860000000000000e+05,6.500000000000000222e-02,1.695020000000000000e+05,1.735640995416301569e-02,3,2,,20240926,
p1.1 u1.0,LR,4.047360000000000000e+05,5.500000000000000028e-02,1.434100000000000000e+05,2.198567186878341503e-02,3,2,,20240926,
p1.1 u1.0,TB,3.818160000000000000e+05,6.500000000000000222e-02,1.461160000000000000e+05,2.198567186878341503e-02,3,2,,20240926,STIMULUS SET TO LR DURING CALIBRATIONS
p1.3 u1.0,LR,3.927480000000000000e+05,5.500000000000000028e-02,1.473260000000000000e+05,2.198567186878341503e-02,3,2,,20240926,DOUBLE CHECKED INTESITY AT TB
p1.3 u1.0,TB,3.776620000000000000e+05,7.500000000000001110e-02,1.480180000000000000e+05,2.198567186878341503e-02,3,2,,20240926,
p1.5 u1.0,LR,3.719980000000000000e+05,5.500000000000000028e-02,1.508410000000000000e+05,2.198567186878341503e-02,3,2,,20240926,
p1.5 u1.0,TB,3.821140000000000000e+05,7.500000000000001110e-02,1.511870000000000000e+05,2.198567186878341503e-02,3,2,,20240926,
p1.8 u1.0,LR,3.207330000000000000e+05,6.500000000000000222e-02,1.591710000000000000e+05,1.612282603710783746e-02,3,2,,20240926,
p1.8 u1.0,TB,4.032470000000000000e+05,9.500000000000000111e-02,1.598380000000000000e+05,2.198567186878341503e-02,3,2,,20240926,
p2.0 u1.0,LR,3.009200000000000000e+05,9.500000000000000111e-02,1.610500000000000000e+05,2.198567186878341503e-02,3,2,,20240926,
p2.0 u1.0,TB,3.998260000000000000e+05,1.050000000000000100e-01,1.624090000000000000e+05,2.198567186878341503e-02,3,2,,20240926,
p2.5 u1.0,TB,4.096190000000000000e+05,1.150000000000000050e-01,1.686180000000000000e+05,2.258786289197072319e-02,3,2,,20240926,
p2.5 u1.0,LR,2.874070000000000000e+05,1.150000000000000050e-01,1.637590000000000000e+05,2.258786289197072319e-02,3,2,,20240926,
p3.5 u1.0,TB,,,,,3,1,,20240926,
p3.5 u1.0,LR,3.511540000000000000e+05,1.350000000000000089e-01,1.854120000000000000e+05,2.198538279598018230e-02,3,1,,20240926,
