frame,time_sec,x_pixel,y_pixel,x_mm,y_mm,distance_from_center_mm,current_zone,in_arena,on_feeder,transition_event,tag_type,bee_id,trial_outcome
0,0.0,1329.07,548.27,405.56,-114.45,421.4,Exited,False,False,,entry,R13,Went back
20,0.33,1329.0,547.0,405.48,-113.1,420.96,Exited,False,False,,auto,R13,Went back
40,0.67,1329.0,549.0,405.48,-115.23,421.54,Exited,False,False,,auto,R13,Went back
60,1.0,1330.0,547.0,406.55,-113.1,421.99,Exited,False,False,,auto,R13,Went back
80,1.33,1330.0,551.0,406.55,-117.37,423.15,Exited,False,False,,auto,R13,Went back
100,1.67,1331.0,553.0,407.62,-119.5,424.77,Exited,False,False,,auto,R13,Went back
120,2.0,1303.47,576.0,378.23,-144.05,404.73,Outer,True,False,Exited -> Outer,help,R13,Went back
130,2.17,1288.0,586.0,361.72,-154.72,393.43,Outer,True,False,,auto,R13,Went back
140,2.33,1309.87,569.6,385.06,-137.22,408.78,Outer,True,False,,help,R13,Went back
150,2.5,1296.0,562.0,370.26,-129.11,392.13,Outer,True,False,,auto,R13,Went back
160,2.67,1283.0,555.0,356.39,-121.64,376.57,Outer,True,False,,auto,R13,Went back
170,2.83,1271.0,548.0,343.58,-114.17,362.05,Outer,True,False,,auto,R13,Went back
180,3.0,1255.0,545.0,326.5,-110.96,344.84,Outer,True,False,,auto,R13,Went back
190,3.17,1244.0,536.0,314.76,-101.36,330.68,Outer,True,False,,auto,R13,Went back
200,3.33,1235.0,529.0,305.16,-93.89,319.27,Outer,True,False,,auto,R13,Went back
210,3.5,1224.0,523.0,293.42,-87.48,306.18,Outer,True,False,,auto,R13,Went back
220,3.67,1208.0,517.0,276.34,-81.08,287.99,Outer,True,False,,auto,R13,Went back
230,3.83,1194.0,519.0,261.4,-83.21,274.32,Outer,True,False,,auto,R13,Went back
240,4.0,1186.0,515.0,252.86,-78.94,264.9,Outer,True,False,,auto,R13,Went back
250,4.17,1177.0,506.0,243.25,-69.34,252.94,Outer,True,False,,auto,R13,Went back
260,4.33,1169.0,499.0,234.71,-61.87,242.73,Outer,True,False,,auto,R13,Went back
270,4.5,1159.0,500.0,224.04,-62.93,232.71,Outer,True,False,,auto,R13,Went back
280,4.67,1153.0,504.0,217.64,-67.2,227.78,Outer,True,False,,auto,R13,Went back
290,4.83,1136.0,503.0,199.49,-66.14,210.17,Outer,True,False,,auto,R13,Went back
300,5.0,1126.0,492.0,188.82,-54.4,196.5,Inner,True,False,Outer -> Inner,auto,R13,Went back
310,5.17,1119.0,483.0,181.35,-44.79,186.8,Inner,True,False,,auto,R13,Went back
320,5.33,1109.0,479.0,170.68,-40.52,175.42,Inner,True,False,,auto,R13,Went back
330,5.5,1094.0,475.0,154.67,-36.25,158.86,Inner,True,False,,auto,R13,Went back
340,5.67,1083.0,462.0,142.93,-22.38,144.67,Inner,True,False,,auto,R13,Went back
350,5.83,1070.0,462.0,129.05,-22.38,130.98,Inner,True,False,,auto,R13,Went back
360,6.0,1058.0,463.0,116.24,-23.44,118.58,Inner,True,False,,auto,R13,Went back
370,6.17,1047.0,466.0,104.5,-26.65,107.85,Inner,True,False,,auto,R13,Went back
380,6.33,1033.0,458.0,89.56,-18.11,91.37,Inner,True,False,,auto,R13,Went back
390,6.5,1026.0,453.0,82.09,-12.77,83.08,Inner,True,False,,auto,R13,Went back
400,6.67,1008.0,445.0,62.88,-4.23,63.02,Inner,True,False,,auto,R13,Went back
410,6.83,1012.0,453.0,67.15,-12.77,68.35,Inner,True,False,,auto,R13,Went back
420,7.0,992.0,452.0,45.8,-11.7,47.27,Inner,True,False,,auto,R13,Went back
430,7.17,972.0,438.0,24.45,3.24,24.67,Inner,True,True,,auto,R13,Went back
440,7.33,973.0,438.0,25.52,3.24,25.73,Inner,True,True,,auto,R13,Went back
450,7.5,971.0,439.0,23.39,2.17,23.49,Inner,True,True,,auto,R13,Went back
460,7.67,971.0,441.0,23.39,0.04,23.39,Inner,True,True,,auto,R13,Went back
470,7.83,973.0,437.0,25.52,4.31,25.88,Inner,True,True,,auto,R13,Went back
480,8.0,972.0,437.0,24.45,4.31,24.83,Inner,True,True,,auto,R13,Went back
490,8.17,973.0,438.0,25.52,3.24,25.73,Inner,True,True,,auto,R13,Went back
500,8.33,970.0,438.0,22.32,3.24,22.55,Inner,True,True,,auto,R13,Went back
510,8.5,972.0,437.0,24.45,4.31,24.83,Inner,True,True,,auto,R13,Went back
520,8.67,972.0,437.0,24.45,4.31,24.83,Inner,True,True,,auto,R13,Went back
530,8.83,972.0,439.0,24.45,2.17,24.55,Inner,True,True,,auto,R13,Went back
540,9.0,972.0,438.0,24.45,3.24,24.67,Inner,True,True,,auto,R13,Went back
550,9.17,971.0,439.0,23.39,2.17,23.49,Inner,True,True,,auto,R13,Went back
560,9.33,973.0,438.0,25.52,3.24,25.73,Inner,True,True,,auto,R13,Went back
570,9.5,970.0,437.0,22.32,4.31,22.73,Inner,True,True,,auto,R13,Went back
580,9.67,971.0,439.0,23.39,2.17,23.49,Inner,True,True,,auto,R13,Went back
590,9.83,971.0,439.0,23.39,2.17,23.49,Inner,True,True,,auto,R13,Went back
600,10.0,969.0,437.0,21.25,4.31,21.68,Inner,True,True,,auto,R13,Went back
610,10.17,971.0,438.0,23.39,3.24,23.61,Inner,True,True,,auto,R13,Went back
620,10.33,970.0,437.0,22.32,4.31,22.73,Inner,True,True,,auto,R13,Went back
630,10.5,971.0,439.0,23.39,2.17,23.49,Inner,True,True,,auto,R13,Went back
640,10.67,971.0,439.0,23.39,2.17,23.49,Inner,True,True,,auto,R13,Went back
650,10.83,971.0,439.0,23.39,2.17,23.49,Inner,True,True,,auto,R13,Went back
660,11.0,971.0,439.0,23.39,2.17,23.49,Inner,True,True,,auto,R13,Went back
670,11.17,998.4,418.13,52.63,24.44,58.03,Inner,True,False,,help,R13,Went back
680,11.33,994.0,414.0,47.93,28.85,55.95,Inner,True,False,,auto,R13,Went back
690,11.5,989.0,405.0,42.6,38.46,57.39,Inner,True,False,,auto,R13,Went back
700,11.67,977.0,396.0,29.79,48.07,56.55,Inner,True,False,,auto,R13,Went back
710,11.83,975.0,389.0,27.66,55.54,62.04,Inner,True,False,,auto,R13,Went back
720,12.0,985.0,380.0,38.33,65.14,75.58,Inner,True,False,,auto,R13,Went back
730,12.17,988.0,402.0,41.53,41.66,58.83,Inner,True,False,,auto,R13,Went back
740,12.33,989.0,403.0,42.6,40.59,58.84,Inner,True,False,,auto,R13,Went back
750,12.5,975.0,389.0,27.66,55.54,62.04,Inner,True,False,,auto,R13,Went back
760,12.67,975.0,389.0,27.66,55.54,62.04,Inner,True,False,,auto,R13,Went back
770,12.83,975.0,389.0,27.66,55.54,62.04,Inner,True,False,,auto,R13,Went back
780,13.0,988.0,401.0,41.53,42.73,59.59,Inner,True,False,,auto,R13,Went back
790,13.17,989.0,402.0,42.6,41.66,59.58,Inner,True,False,,auto,R13,Went back
800,13.33,989.0,402.0,42.6,41.66,59.58,Inner,True,False,,auto,R13,Went back
810,13.5,975.0,389.0,27.66,55.54,62.04,Inner,True,False,,auto,R13,Went back
820,13.67,989.0,403.0,42.6,40.59,58.84,Inner,True,False,,auto,R13,Went back
830,13.83,989.0,402.0,42.6,41.66,59.58,Inner,True,False,,auto,R13,Went back
840,14.0,974.0,388.0,26.59,56.6,62.54,Inner,True,False,,auto,R13,Went back
850,14.17,986.0,398.0,39.4,45.93,60.51,Inner,True,False,,auto,R13,Went back
860,14.33,975.0,389.0,27.66,55.54,62.04,Inner,True,False,,auto,R13,Went back
870,14.5,989.0,402.0,42.6,41.66,59.58,Inner,True,False,,auto,R13,Went back
880,14.67,988.0,402.0,41.53,41.66,58.83,Inner,True,False,,auto,R13,Went back
890,14.83,984.0,404.0,37.26,39.53,54.32,Inner,True,False,,auto,R13,Went back
900,15.0,989.0,402.0,42.6,41.66,59.58,Inner,True,False,,auto,R13,Went back
910,15.17,989.0,402.0,42.6,41.66,59.58,Inner,True,False,,auto,R13,Went back
920,15.33,989.0,402.0,42.6,41.66,59.58,Inner,True,False,,auto,R13,Went back
930,15.5,988.0,402.0,41.53,41.66,58.83,Inner,True,False,,auto,R13,Went back
940,15.67,989.0,403.0,42.6,40.59,58.84,Inner,True,False,,auto,R13,Went back
950,15.83,989.0,403.0,42.6,40.59,58.84,Inner,True,False,,auto,R13,Went back
960,16.0,989.0,403.0,42.6,40.59,58.84,Inner,True,False,,auto,R13,Went back
970,16.17,989.0,403.0,42.6,40.59,58.84,Inner,True,False,,auto,R13,Went back
980,16.33,989.0,403.0,42.6,40.59,58.84,Inner,True,False,,auto,R13,Went back
990,16.5,989.0,403.0,42.6,40.59,58.84,Inner,True,False,,auto,R13,Went back
1000,16.67,989.0,402.0,42.6,41.66,59.58,Inner,True,False,,auto,R13,Went back
1010,16.83,988.0,402.0,41.53,41.66,58.83,Inner,True,False,,auto,R13,Went back
1020,17.0,989.0,402.0,42.6,41.66,59.58,Inner,True,False,,auto,R13,Went back
1030,17.17,988.0,402.0,41.53,41.66,58.83,Inner,True,False,,auto,R13,Went back
1040,17.33,988.0,402.0,41.53,41.66,58.83,Inner,True,False,,auto,R13,Went back
1050,17.5,989.0,403.0,42.6,40.59,58.84,Inner,True,False,,auto,R13,Went back
1060,17.67,989.0,403.0,42.6,40.59,58.84,Inner,True,False,,auto,R13,Went back
1070,17.83,989.0,402.0,42.6,41.66,59.58,Inner,True,False,,auto,R13,Went back
1080,18.0,989.0,403.0,42.6,40.59,58.84,Inner,True,False,,auto,R13,Went back
1090,18.17,989.0,402.0,42.6,41.66,59.58,Inner,True,False,,auto,R13,Went back
1100,18.33,996.27,477.87,50.35,-39.31,63.88,Inner,True,False,,help,R13,Went back
1110,18.5,987.0,486.0,40.46,-47.99,62.77,Inner,True,False,,auto,R13,Went back
