frame,time_sec,x_pixel,y_pixel,x_mm,y_mm,distance_from_center_mm,current_zone,in_arena,on_feeder,transition_event,tag_type,bee_id,trial_outcome
12,0.0,1309.87,584.53,392.94,-154.81,422.34,Exited,False,False,,entry,R35,Unknown
24,0.2,1295.0,575.0,376.7,-144.39,403.42,Outer,True,False,Exited -> Outer,auto,R35,Unknown
36,0.4,1279.0,564.0,359.22,-132.38,382.83,Outer,True,False,,auto,R35,Unknown
48,0.6,1258.0,551.0,336.27,-118.17,356.43,Outer,True,False,,auto,R35,Unknown
60,0.8,1246.0,540.0,323.16,-106.15,340.15,Outer,True,False,,auto,R35,Unknown
72,1.0,1231.0,528.0,306.77,-93.04,320.57,Outer,True,False,,auto,R35,Unknown
84,1.2,1222.0,518.0,296.94,-82.12,308.09,Outer,True,False,,auto,R35,Unknown
96,1.4,1204.0,502.0,277.27,-64.64,284.71,Outer,True,False,,auto,R35,Unknown
108,1.6,1182.0,502.0,253.24,-64.64,261.36,Outer,True,False,,auto,R35,Unknown
120,1.8,1167.0,488.0,236.85,-49.34,241.93,Outer,True,False,,auto,R35,Unknown
132,2.0,1151.0,484.0,219.37,-44.97,223.93,Outer,True,False,,auto,R35,Unknown
144,2.2,1133.0,485.0,199.7,-46.06,204.94,Inner,True,False,Outer -> Inner,auto,R35,Unknown
156,2.4,1121.0,471.0,186.59,-30.77,189.11,Inner,True,False,,auto,R35,Unknown
168,2.6,1113.0,467.0,177.85,-26.4,179.8,Inner,True,False,,auto,R35,Unknown
180,2.8,1112.0,461.0,176.76,-19.84,177.87,Inner,True,False,,auto,R35,Unknown
192,3.0,1097.0,447.0,160.37,-4.54,160.43,Inner,True,False,,auto,R35,Unknown
204,3.2,1076.0,437.0,137.42,6.38,137.57,Inner,True,False,,auto,R35,Unknown
216,3.4,1059.0,432.0,118.85,11.84,119.44,Inner,True,False,,auto,R35,Unknown
228,3.6,1050.0,428.0,109.02,16.21,110.22,Inner,True,False,,auto,R35,Unknown
240,3.8,1046.0,423.0,104.65,21.68,106.87,Inner,True,False,,auto,R35,Unknown
252,4.0,1037.0,404.0,94.81,42.44,103.88,Inner,True,False,,auto,R35,Unknown
264,4.2,1028.0,400.0,84.98,46.81,97.02,Inner,True,False,,auto,R35,Unknown
276,4.4,1014.0,392.0,69.68,55.55,89.11,Inner,True,False,,auto,R35,Unknown
288,4.6,1007.0,401.0,62.04,45.71,77.06,Inner,True,False,,auto,R35,Unknown
300,4.8,994.0,380.0,47.83,68.66,83.68,Inner,True,False,,auto,R35,Unknown
312,5.0,993.0,363.0,46.74,87.23,98.96,Inner,True,False,,auto,R35,Unknown
324,5.2,1004.0,355.0,58.76,95.97,112.53,Inner,True,False,,auto,R35,Unknown
336,5.4,1020.0,346.0,76.24,105.81,130.41,Inner,True,False,,auto,R35,Unknown
348,5.6,1038.0,346.0,95.91,105.81,142.8,Inner,True,False,,auto,R35,Unknown
360,5.8,1054.0,354.0,113.39,97.07,149.26,Inner,True,False,,auto,R35,Unknown
