frame,time_sec,x_pixel,y_pixel,x_mm,y_mm,distance_from_center_mm,current_zone,in_arena,on_feeder,transition_event,tag_type,bee_id,trial_outcome
83,0.0,1297.07,629.33,372.72,-225.81,435.79,Exited,False,False,,entry,R13,Unknown
93,0.17,1290.0,626.0,364.97,-222.15,427.26,Exited,False,False,,auto,R13,Unknown
103,0.33,1288.0,624.0,362.77,-219.95,424.24,Exited,False,False,,auto,R13,Unknown
113,0.5,1271.0,620.0,344.11,-215.56,406.05,Outer,True,False,Exited -> Outer,auto,R13,Unknown
123,0.67,1267.0,615.0,339.72,-210.07,399.43,Outer,True,False,,auto,R13,Unknown
133,0.83,1263.0,610.0,335.33,-204.58,392.81,Outer,True,False,,auto,R13,Unknown
143,1.0,1265.0,605.0,337.53,-199.1,391.87,Outer,True,False,,auto,R13,Unknown
153,1.17,1256.0,599.0,327.65,-192.51,380.02,Outer,True,False,,auto,R13,Unknown
163,1.33,1238.0,600.0,307.89,-193.61,363.7,Outer,True,False,,auto,R13,Unknown
173,1.5,1231.0,601.0,300.2,-194.71,357.82,Outer,True,False,,auto,R13,Unknown
183,1.67,1234.0,598.0,303.5,-191.41,358.82,Outer,True,False,,auto,R13,Unknown
193,1.83,1225.0,591.0,293.62,-183.73,346.36,Outer,True,False,,auto,R13,Unknown
203,2.0,1223.0,584.0,291.42,-176.04,340.47,Outer,True,False,,auto,R13,Unknown
213,2.17,1219.0,577.0,287.03,-168.36,332.77,Outer,True,False,,auto,R13,Unknown
223,2.33,1213.0,574.0,280.45,-165.07,325.42,Outer,True,False,,auto,R13,Unknown
233,2.5,1198.0,563.0,263.98,-152.99,305.11,Outer,True,False,,auto,R13,Unknown
243,2.67,1192.0,564.0,257.39,-154.09,299.99,Outer,True,False,,auto,R13,Unknown
253,2.83,1181.0,563.0,245.32,-152.99,289.12,Outer,True,False,,auto,R13,Unknown
263,3.0,1176.0,564.0,239.83,-154.09,285.07,Outer,True,False,,auto,R13,Unknown
273,3.17,1172.0,566.0,235.44,-156.29,282.59,Outer,True,False,,auto,R13,Unknown
283,3.33,1167.0,561.0,229.95,-150.8,274.99,Outer,True,False,,auto,R13,Unknown
293,3.5,1164.0,554.0,226.66,-143.11,268.06,Outer,True,False,,auto,R13,Unknown
303,3.67,1157.0,550.0,218.97,-138.72,259.22,Outer,True,False,,auto,R13,Unknown
313,3.83,1152.0,550.0,213.49,-138.72,254.6,Outer,True,False,,auto,R13,Unknown
323,4.0,1142.0,553.0,202.51,-142.02,247.34,Outer,True,False,,auto,R13,Unknown
333,4.17,1133.0,550.0,192.63,-138.72,237.38,Outer,True,False,,auto,R13,Unknown
343,4.33,1118.0,551.0,176.16,-139.82,224.91,Outer,True,False,,auto,R13,Unknown
353,4.5,1114.0,547.0,171.77,-135.43,218.74,Outer,True,False,,auto,R13,Unknown
363,4.67,1108.0,543.0,165.19,-131.04,210.85,Outer,True,False,,auto,R13,Unknown
373,4.83,1106.0,536.0,162.99,-123.36,204.41,Inner,True,False,Outer -> Inner,auto,R13,Unknown
383,5.0,1103.0,529.0,159.7,-115.67,197.19,Inner,True,False,,auto,R13,Unknown
393,5.17,1109.0,518.0,166.29,-103.6,195.92,Inner,True,False,,auto,R13,Unknown
403,5.33,1106.0,513.0,162.99,-98.11,190.24,Inner,True,False,,auto,R13,Unknown
413,5.5,1105.0,505.0,161.89,-89.33,184.9,Inner,True,False,,auto,R13,Unknown
423,5.67,1095.0,486.0,150.92,-68.47,165.72,Inner,True,False,,auto,R13,Unknown
433,5.83,1094.0,484.0,149.82,-66.28,163.82,Inner,True,False,,auto,R13,Unknown
443,6.0,1088.0,485.0,143.23,-67.37,158.29,Inner,True,False,,auto,R13,Unknown
453,6.17,1080.0,485.0,134.45,-67.37,150.39,Inner,True,False,,auto,R13,Unknown
463,6.33,1071.0,483.0,124.57,-65.18,140.59,Inner,True,False,,auto,R13,Unknown
473,6.5,1053.0,480.0,104.81,-61.88,121.72,Inner,True,False,,auto,R13,Unknown
483,6.67,1047.0,479.0,98.23,-60.79,115.52,Inner,True,False,,auto,R13,Unknown
493,6.83,1036.0,476.0,86.15,-57.49,103.58,Inner,True,False,,auto,R13,Unknown
503,7.0,1030.0,474.0,79.57,-55.3,96.9,Inner,True,False,,auto,R13,Unknown
513,7.17,1023.0,477.0,71.88,-58.59,92.74,Inner,True,False,,auto,R13,Unknown
523,7.33,1015.0,480.0,63.1,-61.88,88.38,Inner,True,False,,auto,R13,Unknown
533,7.5,1008.0,474.0,55.42,-55.3,78.29,Inner,True,False,,auto,R13,Unknown
543,7.67,1001.0,473.0,47.73,-54.2,72.22,Inner,True,False,,auto,R13,Unknown
553,7.83,996.0,465.0,42.25,-45.42,62.03,Inner,True,False,,auto,R13,Unknown
