frame,time_sec,x_pixel,y_pixel,x_mm,y_mm,distance_from_center_mm,current_zone,in_arena,on_feeder,transition_event,tag_type,bee_id,trial_outcome,orientation,x,xdop,xhdr,hdr,intensity,edge_intensity
0,0.0,1301.33,650.67,379.55,-247.01,452.85,Exited,False,False,,entry,unknown,Unknown,LR,472658.0000,0.0450,108239.0000,0.2415,101,45/57
15,0.25,1284.27,629.33,361.08,-223.91,424.87,Exited,False,False,,help,unknown,Unknown,LR,472658.0000,0.0450,108239.0000,0.2415,101,45/57
30,0.5,1264.0,619.0,339.13,-212.72,400.33,Outer,True,False,Exited -> Outer,auto,unknown,Unknown,LR,472658.0000,0.0450,108239.0000,0.2415,101,45/57
45,0.75,1245.0,603.0,318.56,-195.4,373.72,Outer,True,False,,auto,unknown,Unknown,LR,472658.0000,0.0450,108239.0000,0.2415,101,45/57
60,1.0,1229.0,592.0,301.24,-183.49,352.72,Outer,True,False,,auto,unknown,Unknown,LR,472658.0000,0.0450,108239.0000,0.2415,101,45/57
75,1.25,1218.0,578.0,289.33,-168.33,334.74,Outer,True,False,,auto,unknown,Unknown,LR,472658.0000,0.0450,108239.0000,0.2415,101,45/57
90,1.5,1198.0,568.0,267.68,-157.51,310.58,Outer,True,False,,auto,unknown,Unknown,LR,472658.0000,0.0450,108239.0000,0.2415,101,45/57
105,1.75,1189.0,558.0,257.93,-146.68,296.72,Outer,True,False,,auto,unknown,Unknown,LR,472658.0000,0.0450,108239.0000,0.2415,101,45/57
120,2.0,1178.0,542.0,246.02,-129.36,277.96,Outer,True,False,,auto,unknown,Unknown,LR,472658.0000,0.0450,108239.0000,0.2415,101,45/57
135,2.25,1164.0,537.0,230.87,-123.94,262.03,Outer,True,False,,auto,unknown,Unknown,LR,472658.0000,0.0450,108239.0000,0.2415,101,45/57
150,2.5,1147.0,529.0,212.46,-115.28,241.72,Outer,True,False,,auto,unknown,Unknown,LR,472658.0000,0.0450,108239.0000,0.2415,101,45/57
165,2.75,1143.0,515.0,208.13,-100.12,230.96,Outer,True,False,,auto,unknown,Unknown,LR,472658.0000,0.0450,108239.0000,0.2415,101,45/57
180,3.0,1141.0,499.0,205.96,-82.8,221.98,Outer,True,False,,auto,unknown,Unknown,LR,472658.0000,0.0450,108239.0000,0.2415,101,45/57
